num_labeled,mean,median
85,0.2451706931208326,0.2128926059137722
105,0.2309451322602201,0.1994613841246499
125,0.2540887774788713,0.21600000000000003
145,0.26072986170530177,0.22304507878529106
165,0.27693198580540485,0.23575943713928318
185,0.29321704401181004,0.2530875701906562
204,0.2965376083931726,0.25412697390946115
229,0.3138778984964786,0.27160859083168487
234,1.0,1.0
254,0.2705346968187021,0.25693002940625254
274,0.2789011143064433,0.26466283714808003
294,0.29053423590181743,0.27531520970530576
344,0.2777860971460596,0.26032118097958074
369,0.2963087378169503,0.27800519555166137
396,0.32258076613918535,0.3017525958154002
416,0.31260188639981223,0.2916472772559548
436,0.31522659763698574,0.29211198852641296
446,0.32503300470456653,0.300038798688542
451,0.33063865956387056,0.30445798117348344
456,0.33197195142424735,0.3066225636431496
486,0.3178805704192827,0.2933537023624489
